year,month,area_id,age_group,saving_rate,heat_stroke_rate,elec_price,avg_temp,gdp_capita
2011,9,3,65,0.15,3.907113790512085,18.216678619384766,25.46622085571289,1649.7365445890632
2011,9,3,0_19,0.15,3.7285821437835693,18.216678619384766,25.26481819152832,1649.7365445890632
2011,9,3,20_64,0.15,1.8136314153671265,18.216678619384766,25.26481819152832,1649.7365445890632
2011,9,3,65,0.15,3.4316353797912598,18.216678619384766,25.26481819152832,1649.7365445890632
2011,9,3,0_19,0.15,11.047181129455566,18.216678619384766,22.663787841796875,1649.7365445890632
2011,9,3,20_64,0.15,1.9681349992752075,18.216678619384766,22.663787841796875,1649.7365445890632
2011,9,3,65,0.15,3.2863850593566895,18.216678619384766,22.663787841796875,1649.7365445890632
2012,7,3,0_19,0.102,25.246849060058594,20.434171676635742,24.887102127075195,1654.5741198196954
2012,7,3,20_64,0.102,14.053939819335938,20.434171676635742,24.887102127075195,1654.5741198196954
2012,7,3,65,0.102,33.23823165893555,20.434171676635742,24.887102127075195,1654.5741198196954
2012,7,3,0_19,0.102,15.168396949768066,20.434171676635742,24.978713989257813,1654.5741198196954
2012,7,3,20_64,0.102,11.499611854553223,20.434171676635742,24.978713989257813,1654.5741198196954
2012,7,3,65,0.102,38.22894287109375,20.434171676635742,24.978713989257813,1654.5741198196954
2012,7,3,0_19,0.102,33.12746810913086,20.434171676635742,26.090892791748047,1654.5741198196954
2012,7,3,20_64,0.102,11.089619636535645,20.434171676635742,26.090892791748047,1654.5741198196954
2012,7,3,65,0.102,41.73387145996094,20.434171676635742,26.090892791748047,1654.5741198196954
2012,7,3,0_19,0.102,18.625791549682617,20.434171676635742,25.722335815429688,1654.5741198196954
2012,7,3,20_64,0.102,14.12790584564209,20.434171676635742,25.722335815429688,1654.5741198196954
2012,7,3,65,0.102,38.233436584472656,20.434171676635742,25.722335815429688,1654.5741198196954
2012,7,3,0_19,0.102,13.302325248718262,20.434171676635742,25.261274337768555,1654.5741198196954
2012,7,3,20_64,0.102,10.076045989990234,20.434171676635742,25.261274337768555,1654.5741198196954
2012,7,3,65,0.102,24.14752960205078,20.434171676635742,25.261274337768555,1654.5741198196954
2012,7,3,0_19,0.102,9.972997665405273,20.434171676635742,26.278156280517578,1654.5741198196954
2012,7,3,20_64,0.102,7.6172637939453125,20.434171676635742,26.278156280517578,1654.5741198196954
2012,7,3,65,0.102,21.052631378173828,20.434171676635742,26.278156280517578,1654.5741198196954
2012,7,3,0_19,0.102,10.690817832946777,20.434171676635742,25.341970443725586,1654.5741198196954
2012,7,3,20_64,0.102,7.177379608154297,20.434171676635742,25.341970443725586,1654.5741198196954
2012,7,3,65,0.102,19.09650993347168,20.434171676635742,25.341970443725586,1654.5741198196954
2012,7,3,0_19,0.102,8.974358558654785,20.434171676635742,24.960773468017578,1654.5741198196954
2012,7,3,20_64,0.102,7.5471696853637695,20.434171676635742,24.960773468017578,1654.5741198196954
2012,7,3,65,0.102,20.642202377319336,20.434171676635742,24.960773468017578,1654.5741198196954
2012,8,3,0_19,0.102,15.03234577178955,20.434171676635742,27.2779598236084,1654.5741198196954
2012,8,3,20_64,0.102,11.452736854553223,20.434171676635742,27.2779598236084,1654.5741198196954
2012,8,3,65,0.102,27.104137420654297,20.434171676635742,27.2779598236084,1654.5741198196954
2012,8,3,0_19,0.102,9.090909004211426,20.434171676635742,27.379552841186523,1654.5741198196954
2012,8,3,20_64,0.102,9.090909004211426,20.434171676635742,27.379552841186523,1654.5741198196954
2012,8,3,65,0.102,31.317495346069336,20.434171676635742,27.379552841186523,1654.5741198196954
2012,8,3,0_19,0.102,16.477272033691406,20.434171676635742,28.659305572509766,1654.5741198196954
2012,8,3,20_64,0.102,11.557059288024902,20.434171676635742,28.659305572509766,1654.5741198196954
2012,8,3,65,0.102,37.70161437988281,20.434171676635742,28.659305572509766,1654.5741198196954
2012,8,3,0_19,0.102,11.12050724029541,20.434171676635742,28.106657028198242,1654.5741198196954
2012,8,3,20_64,0.102,10.71121597290039,20.434171676635742,28.106657028198242,1654.5741198196954
2012,8,3,65,0.102,32.99684524536133,20.434171676635742,28.106657028198242,1654.5741198196954
2012,8,3,0_19,0.102,10.01268482208252,20.434171676635742,27.79271125793457,1654.5741198196954
2012,8,3,20_64,0.102,10.276036262512207,20.434171676635742,27.79271125793457,1654.5741198196954
2012,8,3,65,0.102,26.16562271118164,20.434171676635742,27.79271125793457,1654.5741198196954
2012,8,3,0_19,0.102,7.668766975402832,20.434171676635742,28.75251007080078,1654.5741198196954
2012,8,3,20_64,0.102,7.909610271453857,20.434171676635742,28.75251007080078,1654.5741198196954
2012,8,3,65,0.102,21.443811416625977,20.434171676635742,28.75251007080078,1654.5741198196954
2012,8,3,0_19,0.102,8.239529609680176,20.434171676635742,27.793481826782227,1654.5741198196954
2012,8,3,20_64,0.102,6.707216739654541,20.434171676635742,27.793481826782227,1654.5741198196954
2012,8,3,65,0.102,19.353181838989258,20.434171676635742,27.793481826782227,1654.5741198196954
2012,8,3,0_19,0.102,7.692307472229004,20.434171676635742,26.482101440429688,1654.5741198196954
2012,8,3,20_64,0.102,9.224318504333496,20.434171676635742,26.482101440429688,1654.5741198196954
2012,8,3,65,0.102,15.596330642700195,20.434171676635742,26.482101440429688,1654.5741198196954
2012,9,3,0_19,0.102,9.788900375366211,20.434171676635742,25.053930282592773,1654.5741198196954
2012,9,3,20_64,0.102,2.909729242324829,20.434171676635742,25.053930282592773,1654.5741198196954
2012,9,3,65,0.102,8.416547775268555,20.434171676635742,25.053930282592773,1654.5741198196954
2012,9,3,0_19,0.102,1.5193719863891602,20.434171676635742,24.967914581298828,1654.5741198196954
2012,9,3,20_64,0.102,2.5252525806427,20.434171676635742,24.967914581298828,1654.5741198196954
2012,9,3,65,0.102,7.127429962158203,20.434171676635742,24.967914581298828,1654.5741198196954
2012,9,3,0_19,0.102,5.311264514923096,20.434171676635742,25.645540237426758,1654.5741198196954
2012,9,3,20_64,0.102,1.5473887920379639,20.434171676635742,25.645540237426758,1654.5741198196954
2012,9,3,65,0.102,4.637096881866455,20.434171676635742,25.645540237426758,1654.5741198196954
2012,9,3,0_19,0.102,3.791402578353882,20.434171676635742,25.403427124023438,1654.5741198196954
2012,9,3,20_64,0.102,2.353952407836914,20.434171676635742,25.403427124023438,1654.5741198196954
2012,9,3,65,0.102,6.687696933746338,20.434171676635742,25.403427124023438,1654.5741198196954
2012,9,3,0_19,0.102,2.317124605178833,20.434171676635742,25.776308059692383,1654.5741198196954
2012,9,3,20_64,0.102,2.392474412918091,20.434171676635742,25.776308059692383,1654.5741198196954
2012,9,3,65,0.102,5.984690189361572,20.434171676635742,25.776308059692383,1654.5741198196954
2012,9,3,0_19,0.102,1.332133173942566,20.434171676635742,26.343910217285156,1654.5741198196954
2012,9,3,20_64,0.102,1.5137078762054443,20.434171676635742,26.343910217285156,1654.5741198196954
2012,9,3,65,0.102,2.880511999130249,20.434171676635742,26.343910217285156,1654.5741198196954
2012,9,3,0_19,0.102,1.8341809511184692,20.434171676635742,25.883087158203125,1654.5741198196954
2012,9,3,20_64,0.102,1.425283670425415,20.434171676635742,25.883087158203125,1654.5741198196954
2012,9,3,65,0.102,4.0041069984436035,20.434171676635742,25.883087158203125,1654.5741198196954
2012,9,3,0_19,0.102,1.3403263092041016,20.434171676635742,24.027137756347656,1654.5741198196954
2012,9,3,20_64,0.102,1.2388031482696533,20.434171676635742,24.027137756347656,1654.5741198196954
2012,9,3,65,0.102,4.587155818939209,20.434171676635742,24.027137756347656,1654.5741198196954
2013,7,3,0_19,0.105,17.50777816772461,22.397342681884766,24.640052795410156,1666.3109767821054
2013,7,3,20_64,0.105,11.436775207519531,22.397342681884766,24.640052795410156,1666.3109767821054
2013,7,3,65,0.105,34.06593322753906,22.397342681884766,24.640052795410156,1666.3109767821054
2013,7,3,0_19,0.105,12.599231719970703,22.397342681884766,24.838031768798828,1666.3109767821054
2013,7,3,20_64,0.105,10.18876838684082,22.397342681884766,24.838031768798828,1666.3109767821054
2013,7,3,65,0.105,34.79166793823242,22.397342681884766,24.838031768798828,1666.3109767821054
2013,7,3,0_19,0.105,33.29985046386719,22.397342681884766,26.195093154907227,1666.3109767821054
2013,7,3,20_64,0.105,11.763258934020996,22.397342681884766,26.195093154907227,1666.3109767821054
2013,7,3,65,0.105,42.3828125,22.397342681884766,26.195093154907227,1666.3109767821054
2013,7,3,0_19,0.105,18.904556274414063,22.397342681884766,26.53093910217285,1666.3109767821054
2013,7,3,20_64,0.105,13.308121681213379,22.397342681884766,26.53093910217285,1666.3109767821054
2013,7,3,65,0.105,42.805538177490234,22.397342681884766,26.53093910217285,1666.3109767821054
2013,7,3,0_19,0.105,21.008403778076172,22.397342681884766,25.76985740661621,1666.3109767821054
2013,7,3,20_64,0.105,14.013266563415527,22.397342681884766,25.76985740661621,1666.3109767821054
2013,7,3,65,0.105,40.99667739868164,22.397342681884766,25.76985740661621,1666.3109767821054
2013,7,3,0_19,0.105,10.079244613647461,22.397342681884766,26.813579559326172,1666.3109767821054
2013,7,3,20_64,0.105,10.451549530029297,22.397342681884766,26.813579559326172,1666.3109767821054
2013,7,3,65,0.105,32.463966369628906,22.397342681884766,26.813579559326172,1666.3109767821054
2013,7,3,0_19,0.105,18.324758529663086,22.397342681884766,26.125452041625977,1666.3109767821054
2013,7,3,20_64,0.105,10.0574951171875,22.397342681884766,26.125452041625977,1666.3109767821054
2013,7,3,65,0.105,31.13625144958496,22.397342681884766,26.125452041625977,1666.3109767821054
2013,7,3,0_19,0.105,10.586125373840332,22.397342681884766,25.75821304321289,1666.3109767821054
2013,7,3,20_64,0.105,13.597679138183594,22.397342681884766,25.75821304321289,1666.3109767821054
2013,7,3,65,0.105,41.33333206176758,22.397342681884766,25.75821304321289,1666.3109767821054
2013,8,3,0_19,0.105,19.66816520690918,22.397342681884766,26.884986877441406,1666.3109767821054
2013,8,3,20_64,0.105,19.698774337768555,22.397342681884766,26.884986877441406,1666.3109767821054
2013,8,3,65,0.105,44.64285659790039,22.397342681884766,26.884986877441406,1666.3109767821054
2013,8,3,0_19,0.105,18.38668441772461,22.397342681884766,26.615419387817383,1666.3109767821054
2013,8,3,20_64,0.105,16.136167526245117,22.397342681884766,26.615419387817383,1666.3109767821054
2013,8,3,65,0.105,42.70833206176758,22.397342681884766,26.615419387817383,1666.3109767821054
2013,8,3,0_19,0.105,23.405323028564453,22.397342681884766,28.014848709106445,1666.3109767821054
2013,8,3,20_64,0.105,14.001147270202637,22.397342681884766,28.014848709106445,1666.3109767821054
